词语1		词语2		语义相似度
互相	d	相互	d	0.8966757
焦枯	a	枯焦	a	0.889673
板鼓	n	鼓板	n	0.87224996
寻找	v	找寻	v	0.86861575
逗引	v	引逗	v	0.8678598
爱怜	v	怜爱	v	0.86760956
苍莽	a	莽苍	a/n	0.86699206
并吞	v	吞并	v	0.86590976
衣胞	n	胞衣	n	0.8637918
绵延	v	延绵	v	0.8565022
来往	v	往来	v	0.85638523
爽直	a	直爽	a	0.8560091
横蛮	a	蛮横	a	0.85531646
离乱	n	乱离	a	0.85380465
祷祝	v	祝祷	v	0.8518948
荡涤	v	涤荡	v	0.8504008
快嘴	n	嘴快	a	0.84575874
吮吸	v	吸吮	v	0.8353479
诚笃	a	笃诚	a	0.83439374
棒冰	n	冰棒	n	0.8343916
积食	v	食积	v	0.8280173
朴质	a	质朴	a	0.8267219
喊叫	v	叫喊	v	0.8260957
率直	a	直率	a	0.8260409
赏玩	v	玩赏	v	0.8254935
率真	a	真率	a	0.8246539
爱抚	v	抚爱	v	0.8230785
储积	v	积储	v	0.822211
烦劳	v	劳烦	v	0.8214274
苦痛	a	痛苦	a	0.8198925
谏诤	x	诤谏	x	0.8194314
面汤	n	汤面	n	0.818982
保准	v	准保	d	0.81873053
讲演	v	演讲	v	0.8176655
河山	n	山河	n	0.8166186
烦忧	v	忧烦	a	0.8152679
积郁	v	郁积	v	0.8142771
偎依	v	依偎	v	0.8142329
棉子	n	子棉	n	0.8141797
俭省	a	省俭	v	0.8134701
查访	v	访查	v	0.81230915
虫害	n	害虫	n	0.8117267
齐整	a	整齐	a	0.8116363
畅通	a	通畅	a	0.8069457
秕糠	x	糠秕	x	0.8041841
拔海	ns	海拔	n	0.8010981
雏鸡	n	鸡雏	n	0.798101
裁剪	v	剪裁	v	0.79783523
沉浸	v	浸沉	v	0.79782736
仿效	v	效仿	v	0.7970122
糅杂	x	杂糅	x	0.79601556
健壮	a	壮健	a	0.7952797
积聚	v	聚积	v	0.7948329
感伤	v	伤感	v	0.79481626
谙熟	v	熟谙	v	0.79473805
薄厚	a	厚薄	n	0.79376453
背脊	n	脊背	n	0.79311055
意旨	n	旨意	n	0.79228294
物证	n	证物	n	0.7906783
干枯	a	枯干	a	0.7903283
敏锐	a	锐敏	a	0.7897973
愤激	a	激愤	a	0.7893724
窜逃	v	逃窜	v	0.7883564
放牧	v	牧放	v	0.78727305
储存	v	存储	v	0.78597736
茶砖	n	砖茶	n	0.7842117
庇荫	v	荫庇	v	0.78381497
和缓	a	缓和	a	0.783749
熬煎	v	煎熬	v	0.7803272
驾凌	v	凌驾	v	0.77950513
出外	v	外出	v	0.77948135
盗匪	n	匪盗	n	0.77918863
侧翼	n	翼侧	nl	0.7781637
勘探	v	探勘	v	0.77736807
沉浮	v	浮沉	v	0.77716124
磨折	v	折磨	v	0.775679
兵乱	n	乱兵	n	0.7752507
查缉	v	缉查	v	0.7740459
营运	v	运营	v	0.7739109
名声	n	声名	n	0.77247113
捐税	n	税捐	n	0.77225214
寒心	v	心寒	a	0.77036005
先祖	n	祖先	n	0.76892775
标灯	n	灯标	n	0.76746225
修整	v	整修	v	0.76716894
泉源	n	源泉	n	0.7661589
浑圆	a	圆浑	a	0.76488197
运载	v	载运	v	0.76442766
鞋油	n	油鞋	n	0.7642211
本戏	ns	戏本	n	0.7640848
害鸟	v	鸟害	v	0.7621519
佃租	v	租佃	v	0.7620175
声响	n	响声	n	0.76151
势态	n	态势	n	0.7612359
感情	n	情感	n	0.7558222
伤神	v	神伤	v	0.7528414
盆浴	n	浴盆	n	0.7515402
谨严	a	严谨	a	0.75002456
思乡	v	乡思	n	0.7499164
版刻	n	刻版	v	0.7497667
式样	n	样式	n	0.7455957
纲纪	n	纪纲	n	0.74558693
眉眼	n	眼眉	n	0.7448092
汊港	ns	港汊	n	0.7444387
点校	n	校点	n	0.7441982
察觉	v	觉察	v	0.742283
肠断	v	断肠	v	0.74226564
导电	v	电导	n	0.7382333
蒙童	v	童蒙	nh	0.737564
耗损	v	损耗	v	0.73641497
律诗	n	诗律	n	0.7358093
承继	v	继承	v	0.7345504
丸药	n	药丸	n	0.7339959
藏匿	v	匿藏	v	0.73323345
查寻	v	寻查	v	0.7326935
皮肉	n	肉皮	n	0.7318017
论争	n	争论	v	0.73121923
查抄	v	抄查	v	0.73121595
别离	v	离别	v	0.73075724
鱼子	n	子鱼	n	0.72877026
发抒	v	抒发	v	0.72844285
笨拙	a	拙笨	a	0.72802484
鸡子	n	子鸡	n	0.7277075
考期	nt	期考	n	0.72720635
服丧	v	丧服	n	0.72675127
缝隙	n	隙缝	n	0.725681
焦心	v	心焦	a	0.7249339
爱情	n	情爱	n	0.72489923
拦阻	v	阻拦	v	0.7245294
发奋	v	奋发	v	0.72426456
狠心	a	心狠	a	0.7238732
苍穹	n	穹苍	n	0.7227382
羔羊	n	羊羔	n	0.7227173
查巡	v	巡查	v	0.7211378
登攀	v	攀登	v	0.7205168
繁冗	a	冗繁	a	0.7203489
光亮	n	亮光	n	0.7203159
朴素	a	素朴	a	0.71808696
草药	n	药草	n	0.71690995
寒苦	x	苦寒	a	0.71640825
躲闪	v	闪躲	v	0.7144122
存留	v	留存	v	0.7144068
兄长	n	长兄	n	0.7136981
影踪	n	踪影	n	0.7132403
汇票	n	票汇	n	0.7122883
雕花	v	花雕	n	0.7121047
词语	n	语词	n	0.7120783
译音	n	音译	v	0.71094275
毛皮	n	皮毛	n	0.71031904
顾主	n	主顾	n	0.7098825
伪作	n	作伪	v	0.70910674
凭依	p	依凭	v	0.708909
黑墨	a	墨黑	a	0.7087535
兵士	n	士兵	n	0.708705
兵士	n	士兵	n	0.708705
解劝	v	劝解	v	0.7080826
秋收	n	收秋	v	0.707113
喘气	v	气喘	v	0.7065308
藏躲	v	躲藏	v	0.70596844
挂牵	v	牵挂	v	0.70523286
缩微	v	微缩	v	0.7051088
荷载	v	载荷	n	0.7048908
开展	v	展开	v	0.7044327
颤抖	v	抖颤	v	0.70418525
荐举	v	举荐	v	0.7041377
告密	v	密告	v	0.7033646
搭配	v	配搭	v	0.7026435
窗纱	n	纱窗	n	0.7024657
